参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P0-36,0x2024,映射参数P0.026的映像目标设定,DRV's Parameter  P0-36,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-37,0x2025,映射参数P0.027的映像目标设定,DRV's Parameter  P0-37,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-38,0x2026,映射参数P0.028的映像目标设定,DRV's Parameter  P0-38,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-39,0x2027,映射参数P0.029的映像目标设定,DRV's Parameter  P0-39,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-40,0x2028,映射参数P0.030的映像目标设定,DRV's Parameter  P0-40,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-41,0x2029,映射参数P0.031的映像目标设定,DRV's Parameter  P0-41,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-42,0x202A,映射参数P0.032的映像目标设定,DRV's Parameter  P0-42,UDINT,32,rw,RT,| - |,| 取决于参数群的通讯地址 |,| - |,| All |,P0,—,| > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-43,0x202B,保留,DRV's Parameter  P0-43,UINT,16,ro,T,,,,,P0,—,
P0-44,0x202C,★,DRV's Parameter  P0-44,UDINT,32,ro,T,| - |,| 取决于参数群的通讯地址 |,| 0 |,| All |,P0,—,| 同参数P0.009。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-45,0x202D,■,DRV's Parameter  P0-45,UINT,16,rw,RT,| - |,| -300 ~ +127 |,| 0 |,| All |,P0,—,| 同参数P0.017。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-46,0x202E,★,DRV's Parameter  P0-46,UINT,16,ro,T,| - |,| 0x0000 ~ 0x00FF |,| 0x0000 |,| All |,P0,—,| Bit | 功能 | Bit | 功能 | 0 | SRDY (伺服备妥) | 8 | HOME (原点复归完成) | 1 | SON (伺服启动) | 9 | OLW (电机过负载预警) | 2 | ZSPD (零速度检出) | 10 | WARN (伺服警告、CW、CCW、EMGS、 | 低电压、通讯错误等状况) | 3 | TSPD (目标速度到达) | 11 | 保留 | 4 | TP
P0-47,0x202F,保留,DRV's Parameter  P0-47,UINT,16,ro,T,,,,,P0,—,
P0-48,0x2030,DRV's Parameter  P0-48,DRV's Parameter  P0-48,UINT,16,ro,T,—,—,,—,P0,—,
P0-49,0x2031,■,DRV's Parameter  P0-49,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0002 |,| 0x0000 |,| All |,P0,—,| X | 命令处理 | Z | 保留 | Y | 保留 | U | 保留 | X：命令处理 | 0：无 | 1：只更新编码器的数据到参数P0.050 ~ P0.052 | 2：更新参数P0.050 ~ P0.052， 并同时清除位置误差。当此命令生效，会将电机的目前位置设定为位置命令的终点。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-50,0x2032,★,DRV's Parameter  P0-50,UINT,16,ro,T,| - |,| 0x0000 ~ 0x001F |,| 0x0000 |,| All |,P0,—,| 位 | 功能 | 说明 | Bit 0 | 绝对位置状态 | 0：绝对位置正常。 | 1：绝对位置遗失。 | Bit 1 | 电池电压状态 | 0：电池电压正常。 | 1：电池低电压。 | Bit 2 | 绝对圈数状态 | 0：绝对圈数未溢位。 | 1：绝对圈数溢位。 | Bit 3 | PUU状态 | 0：PUU未溢位。 | 1：PUU溢位。 | Bit 4 | 绝对坐标状态 | 0：绝对坐
P0-51,0x2033,★,DRV's Parameter  P0-51,UDINT,32,ro,T,| rev |,| -32768 ~ +32767 |,| 0 |,| All |,P0,—,| 当参数P2.070 [Bit 1]设定为1 (读取脉冲数值) 时，此参数为编码器绝对位置的圏数； | 当参数P2.070 [Bit 1]设定为0 (读取PUU数值) 时，本参数无作用，显示为零。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-52,0x2034,★,DRV's Parameter  P0-52,UDINT,32,ro,T,| pulse或PUU |,| 0 ~ 16777216 -1 (pulse) | -2147483648 ~ +2147483647 (PUU) |,| 0 |,| All |,P0,—,| 当参数P2.070 [Bit 1]设定为1 (读取脉冲数值) 时，此参数为编码器绝对位置一圏内的脉冲数；当参数P2.070[Bit 1]设定为0 (读取PUU数值) 时，本参数为电机绝对位置PUU。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-53,0x2035,泛用范围比较数字输出 - 滤波时间,DRV's Parameter  P0-53,UINT,16,ro,T,| - |,| 0x0000 ~ 0xFFFF |,| 0x0000 |,| All |,P0,—,| X | 第一组滤波时间 | Z | 第三组滤波时间 | Y | 第二组滤波时间 | U | 第四组滤波时间 | 注：滤波时间最小值为1 ms (设定值0 = 1 ms；1 = 2 ms；2 = 3 ms；…；F = 16 ms)。 | 以第一组为例： | > | [参数列表] | [2022/10]-[2023/04/13Make]
