参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P5-76,0x254C,[Capture] 第一点抓取位置重置,DRV's Parameter  P5-76,UDINT,32,rw,RT,| Capture来源之脉冲单位 |,| -1073741824 ~ +1073741823 |,| 0 |,| All |,P5,—,| 当位置重置功能开启(P5.039.X [Bit 1] = 1)，抓取到第一点位置后，伺服将第一点位置坐标重置，重置的坐标位置由本参数设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-77,0x254D,■,DRV's Parameter  P5-77,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P5,—,| 本参数表示同步抓取修正轴的位置，可做为凸轮主动轴的命令来源(P5.088.Y = 5)。每两次Capture信号进入伺服后，计算此轴的位移量与设定的同步抓取修正轴间隔脉冲数(P5.078)的误差量。 | 注：每两次Capture信号间的位移脉冲量可由监控变量081(51h)观察。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-78,0x254E,[E-Cam] 同步抓取修正轴间隔脉冲数,DRV's Parameter  P5-78,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| 10 ~ 100000000 |,| 100 |,| PR |,P5,—,| 本参数设定两次Capture信号间，同步抓取修正轴的位移脉冲量。必须在Capture停止 | 运作(P5.039.X [Bit 0] = 0)时，才可写入新值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-79,0x254F,■,DRV's Parameter  P5-79,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P5,—,| 同步抓取修正轴运作时，会尽量让此误差脉冲量为0。每次抓取到数据时，伺服同步进行位置修正，本参数更新一次，其概念如下： | P5.079 = 两Capture信号间的脉冲增量(监控变量51h) - 同步抓取修正轴间隔脉冲数(P5.078)。本参数亦可写入指定同步轴的偏移量(Offset)。当做为飞剪的主动轴时，修改此参数可以让每次裁切的位置向左 / 右偏移，使用同步抓取修正轴误差偏移补偿量(P1
P5-80,0x2550,[E-Cam] 同步抓取修正轴最大修正率,DRV's Parameter  P5-80,UINT,16,rw,RT,| % |,| 0 ~ 90 |,| 10 |,| PR |,P5,—,| 本参数限制同步抓取轴的修正率(%)。修正率 = 同步轴输出的脉冲数 / 同步轴输入的脉冲数 | (100 - P5.080) % ＜ 修正率 ＜(100 + P5.080)% | 修正率愈大，同步误差愈快为0，但速度变化愈剧烈；反之，修正率愈小，同步误差愈慢为0，但速度变化较缓和。在飞剪的应用中，在调整同步误差P5.079后，本参数愈大，裁切位置迅速修正至想要的位置，但速度愈不同步。 | > 
P5-81,0x2551,[E-Cam] 资料阵列起始地址,DRV's Parameter  P5-81,UINT,16,rw,RT,| - |,| 0 ~ (800减P5.082的设定值) |,| 100 |,| PR |,P5,—,| 指定电子凸轮曲线表格的第一点数据所储存在资料阵列中的地址。本参数任何时刻均可设定，但只在电子凸轮系统的状态由前置变成啮合的瞬间才生效。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-82,0x2552,[E-Cam] 凸轮区域数目N,DRV's Parameter  P5-82,UINT,16,rw,RT,| - |,| 5 ~ 720 |,| 5 |,| PR |,P5,—,| 电子凸轮曲线分成N个区域，表格需包含N+1个数据。本参数必须在E-Cam停止(P5.088.X [Bit 0] = 0)时才可以写入。其设定范围必须小于或等于P5.010减P5.081的设定值，且P5.082 x P5.084的设定值小于或等于2147483647。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-83,0x2553,[E-Cam] 主动轴齿轮比 - 周期数设定M,DRV's Parameter  P5-83,UINT,16,rw,RT,| - |,| 1 ~ 32767 |,| 1 |,| PR |,P5,—,| 从动轴接收到P5.084所定义的主动轴脉冲数量时，电子凸轮运行P5.083所定义的周期数(一个周期为凸轮曲线由0度运行至360度)。本参数必须在E-Cam停止(P5.088.X [Bit 0] = 0)时才可以写入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-84,0x2554,[E-Cam] 主动轴齿轮比 - 脉冲数设定P,DRV's Parameter  P5-84,UDINT,32,rw,RT,| - |,| 10 ~ 1073741823 |,| 3600 |,| PR |,P5,—,| 从动轴接收到P5.084所定义的主动轴脉冲数量时，电子凸轮运行P5.083所定义的周期数(一个周期为凸轮曲线由0度运行至360度)。本参数可于任意时刻修改。其设定范围必须大于或等于P5.082 x P5.083的设定值，且P5.082 x P5.084的设定值小于或等于2147483647。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-85,0x2555,[E-Cam] 啮合区域编号,DRV's Parameter  P5-85,UINT,16,rw,RT,| - |,| 0 ~ (P5.082的设定值减1) |,| 0 |,| PR |,P5,—,| 设定电子凸轮啮合瞬间，凸轮所在的曲线表格区域编号。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-86,0x2556,■,DRV's Parameter  P5-86,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P5,—,| 凸轮主动轴的位置计数器。在凸轮运行的过程中，必为持续增加的数值。本参数必须在E-Cam停止(P5.088.X [Bit 0] = 0)时才可以写入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-87,0x2557,[E-Cam] 初始前置脉冲数,DRV's Parameter  P5-87,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -1073741824 ~ +1073741823 |,| 0 |,| PR |,P5,—,| 凸轮啮合条件(P5.088.Z)成立时，主动轴发送的脉冲数必须超过本参数设定值，凸轮才会真正 | 啮合。本参数可通过虚拟主轴脉冲功能(请参阅P2.077)写入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-88,0x2558,■,DRV's Parameter  P5-88,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0x206FF267 |,| 0x00000000 |,| PR |,P5,—,| 高位 | 低位 | BA | 自动执行PR编号 | X | 电子凸轮功能启动设定 | C | 保留 | Y | 命令来源 | D | 凸轮状态显示 | Z | 啮合时机 | - | - | U | 脱离时机 | 各字段定义如下： | X：电子凸轮功能启动设定 | Bit | 功能 | 说明 | 0 | 启动E-Cam | 0：凸轮关闭 | 1：凸轮启动 (一旦E-Cam启动，相关参数无法改变)
P5-89,0x2559,[E-Cam] 脱离时机之主动轴脉冲数,DRV's Parameter  P5-89,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -1073741824 ~ +1073741823 |,| 0 |,| PR |,P5,—,| 主动轴脉冲数到达本参数所设定的值后，离合器会依据脱离时机的设定(P5.088.U)脱离。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-90,0x255A,[E-Cam] DO.CAM_AREA1上缘相位设定,DRV's Parameter  P5-90,UINT,16,rw,RT,| 度 |,| 0 ~ 360 |,| 270 |,| PR |,P5,—,| DO.CAM_AREA1(DO：0x18)与参数的关系如下。当凸轮不在啮合状态时，此信号一律输出Off。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-91,0x255B,[E-Cam] DO.CAM_AREA1下缘相位设定,DRV's Parameter  P5-91,UINT,16,rw,RT,| 度 |,| 0 ~ 360 |,| 360 |,| PR |,P5,—,| DO.CAM_AREA1与参数的关系请详见P5.090。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-92,0x255C,[E-Cam] 周期前置脉冲数,DRV's Parameter  P5-92,UDINT,32,rw,RT,| 同主动轴脉冲单位 |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P5,—,| 本参数搭配脱离时机脱离后进入循环模式(P5.088.U = 4)使用，即凸轮系统由啮合状态脱离后，进入前置状态的周期前置量由本参数设定。接收的主动轴脉冲数必须超过本参数设定值，电子凸轮才会再次啮合。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-93,0x255D,[运动控制宏指令] 命令参数4,DRV's Parameter  P5-93,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| All |,P5,—,| 宏指令命令下达前，需先给定相关之参数。参数的意义视该宏指令码而定，并非每一宏命令都须设定此命令参数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-94,0x255E,[运动控制宏指令] 命令参数3,DRV's Parameter  P5-94,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 宏指令命令下达前，需先给定相关之参数。参数的意义视该宏指令码而定，并非每一宏命令都须设定此命令参数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-95,0x255F,[运动控制宏指令] 命令参数2,DRV's Parameter  P5-95,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 宏指令命令下达前，需先给定相关之参数。参数的意义视该宏指令码而定，并非每一宏命令都须设定此命令参数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-96,0x2560,[运动控制宏指令] 命令参数1,DRV's Parameter  P5-96,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 宏指令命令下达前，需先给定相关之参数。参数的意义视该宏指令码而定，并非每一宏命令都须设定此命令参数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-97,0x2561,■,DRV's Parameter  P5-97,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x099F |,| 0x0000 |,| All |,P5,—,| 写入本参数可下达宏指令，读取本参数可检视宏指令的执行结果。 | 例如：下达指令0x0003，若成功可读取到成功码0x1003，若失败则会读取到失败码0xF03X (视指令说明)；若下达不支持的指令，则传回错误码0xF001。 | 提供的脚本如下： | 脚本0x0003 | 参数与资料阵列保护：设定密码，保护启动 | 本功能必须在参数保护功能未启动时才可执行。若保护功能已经启动，重复 | 执行本
P5-98,0x2562,事件上缘触发PR程序编号,DRV's Parameter  P5-98,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xDDDD |,| 0x0000 |,| PR |,P5,—,| X | EV1上缘触发行为 | Z | EV3上缘触发行为 | Y | EV2上缘触发行为 | U | EV4上缘触发行为 | X：EV1为ON的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 | Y：EV2为ON的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 | Z：EV3为ON的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 | U：
P5-99,0x2563,事件下缘触发PR程序编号,DRV's Parameter  P5-99,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xDDDD |,| 0x0000 |,| PR |,P5,—,| X | EV1下缘触发行为 | Z | EV3下缘触发行为 | Y | EV2下缘触发行为 | U | EV4下缘触发行为 | X：EV1为OFF的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 | Y：EV2为OFF的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 | Z：EV3为OFF的行为 | 0：无动作 | 1 ~ D：执行PR编号51 ~ 63 |
P5-100,0x2564,■,DRV's Parameter  P5-100,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 数据窗口3，由任何方式读写时，P5.011的设定值均不加1。 | 详细使用说明请参考7.2.1节 资料阵列。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-101,0x2565,■,DRV's Parameter  P5-101,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 数据窗口4，由任何方式读写时，P5.011的设定值均不加1。 | 详细使用说明请参考7.2.1节 资料阵列。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-102,0x2566,■,DRV's Parameter  P5-102,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 数据窗口5，由任何方式读写时，P5.011的设定值均不加1。 | 详细使用说明请参考7.2.1节 资料阵列。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-103,0x2567,■,DRV's Parameter  P5-103,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P5,—,| 数据窗口6，由任何方式读写时，P5.011的设定值均不加1。 | 详细使用说明请参考7.2.1节 资料阵列。 | P6.xxx  PR路径定义参数 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P5-104,0x2568,DRV's Parameter  P5-104,DRV's Parameter  P5-104,UDINT,32,rw,RT,—,—,,—,P5,—,
P5-105,0x2569,DRV's Parameter  P5-105,DRV's Parameter  P5-105,UDINT,32,rw,RT,—,—,,—,P5,—,
P5-106,0x256A,DRV's Parameter  P5-106,DRV's Parameter  P5-106,UDINT,32,rw,RT,—,—,,—,P5,—,
P6-00,0x2600,原点复归定义,DRV's Parameter  P6-00,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFF6F |,| 0x00000000 |,| PR |,P6,—,| 原点复归定义： | 高位 | 低位 | A | DEC2：第二段回原点减速时间选择 | YX | PATH：路径形式 | B | DLY：延迟时间选择0 ~ F | Z | ACC：加速时间选择0 ~ F | C | 保留 | U | DEC1：第一段回原点减速时间选择 | D | BOOT：当驱动器送电启动时，是否自动执行原点复归 | - | - | YX：PATH：路径形式 | 0x00：
P6-01,0x2601,原点定义值,DRV's Parameter  P6-01,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 原点定义值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-02,0x2602,PATH 1定义,DRV's Parameter  P6-02,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 本参数格式为：(高位h) DCBA：(低位L) UZYX | 高位 | 低位 | A | SPD目标速度 | 注 | X | TYPE路径型式 | B | DLY延迟时间 | Y | OPT选项 | C | AUTO | 注 | Z | ACC加速时间 | 注 | D | 保留 | U | DEC减速时间 | 注 | 各字段定义如下： | YX | Y：OPT选项 | X：TYPE路径型式 |
P6-03,0x2603,PATH 1资料,DRV's Parameter  P6-03,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| P6.002定义目标点的属性，P6.003则是对应P6.002的目标点位置或者是跳转目标的PATH_NO。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-04,0x2604,PATH 2定义,DRV's Parameter  P6-04,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-05,0x2605,PATH 2资料,DRV's Parameter  P6-05,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-06,0x2606,PATH 3定义,DRV's Parameter  P6-06,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-07,0x2607,PATH 3资料,DRV's Parameter  P6-07,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-08,0x2608,PATH 4定义,DRV's Parameter  P6-08,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-09,0x2609,PATH 4资料,DRV's Parameter  P6-09,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-10,0x260A,PATH 5定义,DRV's Parameter  P6-10,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-11,0x260B,PATH 5资料,DRV's Parameter  P6-11,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-12,0x260C,PATH 6定义,DRV's Parameter  P6-12,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-13,0x260D,PATH 6资料,DRV's Parameter  P6-13,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-14,0x260E,PATH 7定义,DRV's Parameter  P6-14,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-15,0x260F,PATH 7资料,DRV's Parameter  P6-15,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-16,0x2610,PATH 8定义,DRV's Parameter  P6-16,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-17,0x2611,PATH 8资料,DRV's Parameter  P6-17,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-18,0x2612,PATH 9定义,DRV's Parameter  P6-18,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-19,0x2613,PATH 9资料,DRV's Parameter  P6-19,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-20,0x2614,PATH 10定义,DRV's Parameter  P6-20,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-21,0x2615,PATH 10资料,DRV's Parameter  P6-21,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-22,0x2616,PATH 11定义,DRV's Parameter  P6-22,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-23,0x2617,PATH 11资料,DRV's Parameter  P6-23,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-24,0x2618,PATH 12定义,DRV's Parameter  P6-24,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-25,0x2619,PATH 12资料,DRV's Parameter  P6-25,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-26,0x261A,PATH 13定义,DRV's Parameter  P6-26,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-27,0x261B,PATH 13资料,DRV's Parameter  P6-27,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-28,0x261C,PATH 14定义,DRV's Parameter  P6-28,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-29,0x261D,PATH 14资料,DRV's Parameter  P6-29,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-30,0x261E,PATH 15定义,DRV's Parameter  P6-30,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-31,0x261F,PATH 15资料,DRV's Parameter  P6-31,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-32,0x2620,PATH 16定义,DRV's Parameter  P6-32,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-33,0x2621,PATH 16资料,DRV's Parameter  P6-33,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-34,0x2622,PATH 17定义,DRV's Parameter  P6-34,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-35,0x2623,PATH 17资料,DRV's Parameter  P6-35,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-36,0x2624,PATH 18定义,DRV's Parameter  P6-36,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-37,0x2625,PATH 18资料,DRV's Parameter  P6-37,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-38,0x2626,PATH 19定义,DRV's Parameter  P6-38,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-39,0x2627,PATH 19资料,DRV's Parameter  P6-39,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-40,0x2628,PATH 20定义,DRV's Parameter  P6-40,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-41,0x2629,PATH 20资料,DRV's Parameter  P6-41,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-42,0x262A,PATH 21定义,DRV's Parameter  P6-42,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-43,0x262B,PATH 21资料,DRV's Parameter  P6-43,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-44,0x262C,PATH 22定义,DRV's Parameter  P6-44,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-45,0x262D,PATH 22资料,DRV's Parameter  P6-45,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-46,0x262E,PATH 23定义,DRV's Parameter  P6-46,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-47,0x262F,PATH 23资料,DRV's Parameter  P6-47,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-48,0x2630,PATH 24定义,DRV's Parameter  P6-48,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-49,0x2631,PATH 24资料,DRV's Parameter  P6-49,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-50,0x2632,PATH 25定义,DRV's Parameter  P6-50,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-51,0x2633,PATH 25资料,DRV's Parameter  P6-51,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-52,0x2634,PATH 26定义,DRV's Parameter  P6-52,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-53,0x2635,PATH 26资料,DRV's Parameter  P6-53,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-54,0x2636,PATH 27定义,DRV's Parameter  P6-54,UDINT,32,rw,RT,| - |,| 0x00000000 ~ 0xFFFFFFFF |,| 0x00000000 |,| PR |,P6,—,| 请参考P6.002的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P6-55,0x2637,PATH 27资料,DRV's Parameter  P6-55,UDINT,32,rw,RT,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| PR |,P6,—,| 请参考P6.003的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
